DocType: Warehouse,A logical Warehouse against which stock entries are made.,مستودع منطقي لقاء ما تم إدخاله من مخزون.
DocType: Sales Partner,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,موزع طرف ثالث / وكيل / دلّال / شريك / بائع التجزئة الذي يبيع منتجات الشركات مقابل عمولة.
DocType: Expense Claim,"A user with ""Expense Approver"" role",المستخدم الذي لديه صلاحية اعتماد المستحق المالي
DocType: Serial No,AMC Expiry Date, تاريخ انتهاء الاشتراك لعقد الصيانة الدوري
DocType: Company,Abbr,اسم مختصر
apps/erpnext/erpnext/setup/doctype/company/company.py +234,Abbr can not be blank or space,"الاسم المختصر لا يمكن أن يكون فارغاً أو ""مسافة"""
DocType: Item Attribute Value,Abbreviation,اسم مختصر
apps/erpnext/erpnext/setup/doctype/company/company.py +44,Abbreviation already used for another company,اختصار استخدمت بالفعل لشركة أخرى
apps/erpnext/erpnext/setup/doctype/company/company.py +38,Abbreviation cannot have more than 5 characters,الاختصار لا يمكن أن يكون أكثر من 5 أحرف
apps/erpnext/erpnext/setup/doctype/company/company.py +41,Abbreviation is mandatory,الاسم المختصر إلزامي
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +53,Above,فوق
DocType: Attendance,Excused absence,غياب بعذر
DocType: Attendance,Unexcused absence,غياب بدون عذر
DocType: Attendance,Leave circumstances,إجازة لظروف
DocType: Attendance,Late,متأخر
DocType: Attendance,Early Leave,تقصير
DocType: Attendance,Punishment,عقوبة
DocType: Attendance,Punishment Type,نوع العقوية
DocType: Attendance,Money,مالي
DocType: Attendance,Attendance Start,تسجيل الدخول
DocType: Attendance,Attendance End,تسجيل الخروج
DocType: Quality Inspection Reading,Acceptance Criteria,معايير القبول
DocType: Quality Inspection Reading,Accepted,مقبول
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +108,Accepted + Rejected Qty must be equal to Received quantity for Item {0},الكمية المقبولة + المرفوضة يجب أن تساوي الكمية المستلمة من الصنف {0}
DocType: Purchase Receipt Item,Accepted Quantity,كمية مقبولة
DocType: Purchase Receipt Item,Accepted Warehouse,مستودع مقبول
DocType: Hub Settings,Access Token,رمز وصول
DocType: Account,Account,حساب
DocType: Journal Entry Account,Account Balance,رصيد حسابك
DocType: Bank Reconciliation,Account Currency,عملة الحساب
DocType: Purchase Taxes and Charges,Account Head,الحساب
DocType: Account,Account Name,اسم الحساب
DocType: Account,Account Type,نوع الحساب
apps/erpnext/erpnext/accounts/doctype/account/account.py +115,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","رصيد حساب بالفعل في الائتمان، لا يسمح لك تعيين ""الرصيد يجب أن يكون 'كما' الخصم '"
apps/erpnext/erpnext/accounts/doctype/account/account.py +113,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","رصيد حساب بالفعل في الخصم، لا يسمح لك تعيين ""الرصيد يجب أن يكون 'ك' الائتمان '"
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +28,Account does not match with Company,الحساب لا يتطابق مع الشركة
DocType: Warehouse,Account for the warehouse (Perpetual Inventory) will be created under this Account.,سيتم إنشاء حساب المستودع (الجرد الدائم) تحت هذا الحساب.
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +59,Account head {0} created,الحساب الرئيسى  {0} تم انشأه
apps/erpnext/erpnext/accounts/doctype/account/account.py +127,Account with child nodes cannot be converted to ledger,لا يمكن تحويل حساب ذو توابع إلى دفتر حسابات دفتر أستاذ
apps/erpnext/erpnext/accounts/doctype/account/account.py +97,Account with child nodes cannot be set as ledger,لا يمكن إنشاء حساب ذو توابع كدفتر حسابات دفتر أستاذ
apps/erpnext/erpnext/accounts/doctype/account/account.py +137,Account with existing transaction can not be converted to group.,لا يمكن تحويل حساب جرت عليه أي عملية إلى مجموعة.
apps/erpnext/erpnext/accounts/doctype/account/account.py +196,Account with existing transaction can not be deleted,لا يمكن حذف حساب جرت عليه أي عملية
apps/erpnext/erpnext/accounts/doctype/account/account.py +92,Account with existing transaction cannot be converted to ledger,لا يمكن تحويل حساب جرت عليه أي عملية إلى دفتر حسابات (دفتر أستاذ)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +76,Account {0} cannot be a Group,الحساب {0} لا يمكن أن يكون مجموعة
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +82,Account {0} does not belong to Company {1},الحساب {0} لا ينتمي إلى شركة {1}
apps/erpnext/erpnext/setup/doctype/company/company.py +53,Account {0} does not belong to company: {1},الحساب {0} لا ينتمي للشركة: {1}
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py +39,Account {0} does not belongs to company {1},الحساب {0} لا ينتمي إلى الشركة {1}
apps/erpnext/erpnext/accounts/doctype/account/account.py +212,Account {0} does not exist,حساب {0} غير موجود
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +29,Account {0} does not exists,لا وجود للحساب {0}
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py +45,Account {0} has been entered more than once for fiscal year {1},تم إدخال الحساب {0} أكثر من مرة للعام المالي {1}
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +187,Account {0} is frozen,الحساب {0} مجمّد
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +79,Account {0} is inactive,حساب {0} غير نشط
apps/erpnext/erpnext/controllers/accounts_controller.py +252,Account {0} is invalid. Account Currency must be {1},الحساب {0} غير صحيح. يجب أن تكون عملة الحساب {1}
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +320,Account {0} must be of type 'Fixed Asset' as Item {1} is an Asset Item,يجب أن يكون نوع الحساب {0} 'أصول ثابتة' حيث أن الصنف {1} من ضمن الأصول
apps/erpnext/erpnext/accounts/doctype/account/account.py +48,Account {0}: Parent account {1} can not be a ledger,الحساب {0}: حسابه الرئيسي {1} لا يمكنه أن يكون دفتر حسابات (دفتر أستاذ)
apps/erpnext/erpnext/accounts/doctype/account/account.py +50,Account {0}: Parent account {1} does not belong to company: {2},الحساب {0}: حسابه الرئيسي {1} لا ينتمي إلى الشركة: {2}
apps/erpnext/erpnext/accounts/doctype/account/account.py +44,Account {0}: Parent account {1} does not exist,الحساب {0}: حسابه الرئيسي {1} غير موجود
apps/erpnext/erpnext/accounts/doctype/account/account.py +46,Account {0}: You can not assign itself as parent account,الحساب {0}: لا يمكنك جعله حساباً رئيسياً لنفسه
apps/erpnext/erpnext/accounts/general_ledger.py +106,Account: {0} can only be updated via Stock Transactions,الحساب: {0} لا يمكن إلا أن يتم تحديثه عن طريق المعاملات المالية
apps/erpnext/erpnext/controllers/accounts_controller.py +257,Account: {0} with currency: {1} can not be selected,الحساب: {0} مع العملة: {1} لا يمكن اختياره
apps/erpnext/erpnext/public/js/setup_wizard.js +204,Accountant,محاسب
DocType: Purchase Invoice Item,Accounting,المحاسبة
DocType: Sales Invoice,Accounting Details,تفاصيل المحاسبة
DocType: Journal Entry,Accounting Entries,القيود المحاسبة
apps/erpnext/erpnext/accounts/page/accounts_browser/accounts_browser.js +27,Accounting Entries can be made against leaf nodes. Entries against Groups are not allowed.,القيود المحاسبية يمكن أن توضع مقابل الحسابات الفرعية فقط .
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +316,Accounting Entry for Stock,القيود المحاسبية لمخزون
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +109,Accounting Entry for {0} can only be made in currency: {1},لا يمكن إجراء القيد المحاسبي ل{0} إلا بالعملة: {1}
apps/erpnext/erpnext/controllers/accounts_controller.py +467,Accounting Entry for {0}: {1} can only be made in currency: {2},القيد المحاسبي ل{0}: {1} يمكن إجراؤه بالعملة: {2} فقط
apps/erpnext/erpnext/public/js/controllers/stock_controller.js +40,Accounting Ledger,دفتر الأستاذ العام
apps/erpnext/erpnext/accounts/party.py +232,Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,تم إجراء القيود المحاسبية بالعملة {0} مسبقاً لشركة {1}. يرجى تحديد حساب يمكن استلامه أو دفعه بالعملة {0}.
DocType: Accounts Settings,"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.", القيد المحاسبي مجمد حتى هذا التاريخ، لا أحد يمكن أن يقوم / بتعديل إدخال باستثناء الدور المحددة أدناه.
apps/erpnext/erpnext/config/accounts.py +13,Accounting journal entries.,المدخلات المحاسبية  لقيداليومية.
DocType: Account,Accounts,حسابات
,Accounts Browser,متصفح الحسابات
,Department Browser,الهيكلية الادارية
DocType: Accounts Settings,Accounts Frozen Upto,حسابات مجمدة حتى
DocType: Account,Accounts Manager,مدير حسابات
DocType: Journal Entry,Accounts Payable,ذمم دائنة
,Accounts Payable Summary,ملخص الحسابات الدائنة
DocType: Journal Entry,Accounts Receivable,ذمم مدينة
,Accounts Receivable Summary,ملخص حسابات المقبوضات
DocType: Accounts Settings,Accounts Settings,إعدادات الحسابات
DocType: Account,Accounts User,حسابات المستخدمين
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.js +10,Accumulated Values,القيم المتراكمة
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.py +51,Achieved,حقق
apps/erpnext/erpnext/crm/doctype/newsletter_list/newsletter_list.js +22,Action,حدث
DocType: Employee,Active,نشط
DocType: Employee,Trial Period in Days,المدة التجريبية بالايام
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.py +31,Active Leads / Customers,وصلات نشطة / العملاء
DocType: Activity Cost,Activity Cost,تكلفة النشاط
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py +29,Activity Cost exists for Employee {0} against Activity Type - {1},وجود النشاط التكلفة للموظف {0} ضد نوع النشاط - {1}
apps/erpnext/erpnext/projects/doctype/activity_type/activity_type.js +3,Activity Cost per Employee,النشاط التكلفة لكل موظف
DocType: Process Payroll,Activity Log,سجل النشاط
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.js +9,Activity Log:,:سجل النشاط
DocType: Activity Cost,Activity Type,نوع العمليات
DocType: Purchase Taxes and Charges,Actual,فعلي
DocType: Maintenance Schedule Detail,Actual Date,التاريخ الفعلي
DocType: Production Order,Actual End Date,تاريخ الإنتهاء الفعلي
DocType: Task,Actual End Date (via Time Logs),الفعلي تاريخ الانتهاء (عبر الزمن سجلات)
DocType: Production Order Operation,Actual End Time,الفعلي وقت الانتهاء
DocType: Production Order,Actual Operating Cost,الفعلية تكاليف التشغيل
DocType: Production Order Operation,Actual Operation Time,الفعلي وقت التشغيل
DocType: Sales Order Item,Actual Qty,الكمية الفعلية
DocType: Stock Entry Detail,Actual Qty (at source/target),الكمية الفعلية (في المصدر / الهدف)
DocType: Stock Ledger Entry,Actual Qty After Transaction,الكمية الفعلية بعد العملية
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +57,Actual Qty is mandatory,الكمية الفعلية هي إلزامية
DocType: Bin,Actual Quantity,الكمية الفعلية
DocType: Production Order,Actual Start Date,تاريخ البدء الفعلي
DocType: Task,Actual Start Date (via Time Logs),تاريخ بدء الفعلي (عبر الزمن سجلات)
DocType: Production Order Operation,Actual Start Time,الفعلي وقت البدء
DocType: Project,Actual Time (in Hours),الوقت الفعلي (بالساعات)
DocType: Task,Actual Time (in hours),
DocType: Production Order Operation,Actual Time and Cost,الوقت الفعلي والتكلفة
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +114,Actual type tax cannot be included in Item rate in row {0},لا يمكن تضمين ضريبة نوع الفعلية في سعر الصنف في الصف {0}
DocType: Purchase Taxes and Charges,Add,إضافة
apps/erpnext/erpnext/stock/doctype/item/item.js +187,Add / Edit Prices,إضافة / تحرير الأسعار
DocType: Purchase Receipt,Add / Edit Taxes and Charges,إضافة / تعديل الضرائب والرسوم
apps/erpnext/erpnext/accounts/page/accounts_browser/accounts_browser.js +121,Add Child,إضافة الطفل
DocType: Email Digest,Add Quote,إضافة اقتباس
apps/erpnext/erpnext/public/js/utils.js +57,Add Serial No,إضافة رقم تسلسلي
apps/erpnext/erpnext/crm/doctype/newsletter_list/newsletter_list.js +24,Add Subscribers,إضافة المشتركين
apps/erpnext/erpnext/public/js/setup_wizard.js +213,Add Taxes,إضافة الضرائب
apps/erpnext/erpnext/public/js/setup_wizard.js +185,Add Users,إضافة مستخدمين
apps/erpnext/erpnext/public/js/setup_wizard.js +307,Add a few sample records,إضافة بعض السجلات عينة
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +689,Add items from,إضافة عناصر من
DocType: Purchase Taxes and Charges,Add or Deduct,إضافة أو خصم
DocType: Cost Center,Add rows to set annual budgets on Accounts.,تفاصيل الموازنة التقديرية.
apps/erpnext/erpnext/templates/generators/item.html +68,Add to Cart,إضافة إلى العربة
DocType: Lead,Add to calendar on this date,إضافة التاريخ للتقويم
DocType: Leave Allocation,Add unused leaves from previous allocations,إضافة الاجازات غير المستخدمة من المخصصات السابقة
apps/erpnext/erpnext/public/js/setup_wizard.js +186,"Add users to your organization, other than yourself",إضافة مستخدمين إلى مؤسستك، وغيرها من نفسك
DocType: Email Digest,Add/Remove Recipients,إضافة / إزالة المستلمين
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html +29,Added,تم الاضافة
DocType: Time Log,Additional Cost,تكلفة إضافية
DocType: Stock Entry,Additional Costs,تكاليف إضافية
DocType: Purchase Invoice,Additional Discount,خصم إضافي
DocType: Purchase Invoice,Additional Discount Amount,مقدار الخصم الاضافي
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),مقدار الخصم الاضافي (العملة الشركة)
DocType: Purchase Invoice,Additional Discount Percentage,نسبة خصم إضافي
DocType: Production Order,Additional Operating Cost,تكاليف تشغيل  اضافية
DocType: Customer,Additional information regarding the customer.,معلومات إضافية عن العميل.
DocType: Purchase Invoice,Address,عنوان
DocType: Lead,Address & Contact,معلومات الاتصال والعنوان
DocType: Sales Partner,Address & Contacts,معلومات الاتصال والعنوان
DocType: Lead,Address Desc,معالجة التفاصيل
DocType: Supplier,Address HTML,عنوان HTML
DocType: Warehouse,Address Line 1,العنوان سطر 1
DocType: Warehouse,Address Line 2,العنوان سطر 2
DocType: Address Template,Address Template,قالب عنوان
DocType: Address,Address Title,عنوان عنوان
apps/erpnext/erpnext/utilities/doctype/address/address.py +25,Address Title is mandatory.,عنوان عنوانها إلزامية.
DocType: Address,Address Type,نوع العنوان
DocType: Customer,Address and Contact,عناوين الإتصال
DocType: Supplier,Address and Contacts,عناوين واتصالات
apps/erpnext/erpnext/shopping_cart/utils.py +37,Addresses,عناوين
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +84,Administrative Expenses,المصاريف الإدارية
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +88,Administrative Officer,موظف إداري
DocType: Payment Gateway,Administrator,مدير
DocType: Purchase Invoice Advance,Advance Amount,المبلغ مقدما
DocType: Purchase Order,Advance Paid,مسبقا المدفوعة
DocType: Purchase Invoice,Advance Payments,دفعات مقدمة
DocType: Sales Invoice Advance,Advance amount,
apps/erpnext/erpnext/controllers/taxes_and_totals.py +408,Advance amount cannot be greater than {0} {1},مبلغ السلفة لا يمكن أن يكون أكبر من {0} {1}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +234,"Advance paid against {0} {1} cannot be greater 
						than Grand Total {2}",
DocType: Purchase Invoice,Advances,السلف
DocType: Sales Invoice,Advertisement,إعلان
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +6,Advertising,إعلان
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +7,Aerospace,الفضاء
DocType: Features Setup,After Sale Installations,بعد التثبيت بيع
DocType: GL Entry,Against,ضد
DocType: Bank Reconciliation Detail,Against Account,ضد الحساب
DocType: Quotation Item,Against Docname,ضد Docname
DocType: Quotation Item,Against Doctype,DOCTYPE ضد
DocType: Installation Note Item,Against Document Detail No,تفاصيل الوثيقة رقم ضد
DocType: Installation Note Item,Against Document No,مقابل الوثيقة رقم
DocType: Purchase Invoice,Against Expense Account,مقابل حساب المصاريف
DocType: Sales Invoice,Against Income Account,مقابل حساب الدخل
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +143,Against Journal Entry {0} does not have any unmatched {1} entry,مقابل قيد اليومية {0} ليس لديه أي لا مثيل لها {1} دخول
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +164,Against Journal Entry {0} is already adjusted against some other voucher,مقابل مجلة الدخول {0} يتم ضبط بالفعل ضد بعض قسيمة أخرى
DocType: Delivery Note Item,Against Sales Invoice,مقابل فاتورة المبيعات
DocType: Delivery Note Item,Against Sales Invoice Item,مقابل فاتورة المبيعات
DocType: Delivery Note Item,Against Sales Order,مقابل أمر المبيعات
DocType: Delivery Note Item,Against Sales Order Item,مقابل عنصر أمر المبيعات
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +65,Against Supplier Invoice {0} dated {1},مقابل فاتورة المورد {0} بتاريخ {1}
DocType: GL Entry,Against Voucher,مقابل قسيمة
DocType: Payment Tool Detail,Against Voucher No,مقابل رقم قسيمة
DocType: GL Entry,Against Voucher Type,مقابل نوع قسيمة
apps/erpnext/erpnext/accounts/doctype/payment_tool/payment_tool.js +183,"Against Voucher Type must be one of Purchase Order, Purchase Invoice or Journal Entry",مقابل قسيمة النوع يجب أن يكون واحدا من طلب شراء، شراء الفاتورة أو قيد اليومية
apps/erpnext/erpnext/accounts/doctype/payment_tool/payment_tool.js +176,"Against Voucher Type must be one of Sales Order, Sales Invoice or Journal Entry",مقابل قسيمة النوع يجب أن يكون واحدا من أمر بيع، مبيعات فاتورة أو قيد اليومية
DocType: Payment Tool,Against Vouchers,مقابل قسائم
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +61,Age,عمر
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +41,Age (Days),العمر (أيام)
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +27,Ageing Based On,بناء على شيخوخة
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +37,Ageing Range 1,شيخوخة المدى 1
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +44,Ageing Range 2,المدى شيخوخة 2
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +51,Ageing Range 3,المدى شيخوخة 3
DocType: Sales Partner,Agent,وكيل
DocType: Product Bundle,"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**.

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials",
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +8,Agriculture,زراعة
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +9,Airline,شركة الطيران
DocType: C-Form,All,جميع
apps/erpnext/erpnext/config/buying.py +38,All Addresses.,جميع العناوين.
DocType: SMS Center,All Contact,جميع الاتصالات
apps/erpnext/erpnext/config/buying.py +33,All Contacts.,جميع جهات الاتصال.
DocType: SMS Center,All Customer Contact,جميع العملاء الاتصال
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +101,All Customer Groups,جميع مجموعات العملاء
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +55,All Day,كل يوم
DocType: SMS Center,All Employee (Active),جميع الموظفين (فعالة)
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +17,All Item Groups,جميع مجموعات الصنف
DocType: SMS Center,All Lead (Open),جميع مبادرات البيع (فتح)
apps/erpnext/erpnext/config/stock.py +13,All Products or Services.,جميع المنتجات أو الخدمات.
DocType: SMS Center,All Sales Partner Contact,جميع مبيعات الاتصال الشريك
DocType: SMS Center,All Sales Person,كل رجال البيع
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,جميع معاملات البيع يمكن الموسومة ضد ** عدة أشخاص المبيعات ** بحيث يمكنك تعيين ورصد الأهداف.
DocType: SMS Center,All Supplier Contact,بيانات اتصال جميع الموردين
apps/erpnext/erpnext/buying/page/purchase_analytics/purchase_analytics.js +128,All Supplier Types,جميع أنواع  الموردين
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +98,All Territories,جميع الأقاليم
DocType: Features Setup,"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.",هي المجالات ذات الصلة عن تصدير مثل العملة ، ومعدل التحويل ، ومجموع التصدير، تصدير الخ المجموع الكلي المتاحة في توصيل ملاحظة ، ونقاط البيع ، اقتباس، فاتورة المبيعات ، أمر بيع الخ
DocType: Features Setup,"All import related fields like currency, conversion rate, import total, import grand total etc are available in Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.",كلها المجالات ذات الصلة مثل استيراد العملة ، ومعدل التحويل، و اجمالى واردات والاستيراد الكبرى الخ مجموع المتاحة في إيصال الشراء ، المورد اقتباس، شراء الفاتورة ، أمر شراء الخ
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +488,All items have already been invoiced,كل الأصناف قد تم فوترتها من قبل
